reviewId,content,score,at,appVersion
f5785140-f16d-4545-8bda-3e60d824abde,"The game is great, Audio, background etc are all great but one thing I don't like is the Wish system. I don't have a 5star character all I've got are 4star character so it is suck to be a f2p unless you save a lot or primogems. One good thing about it is you don't need a 5 star character to beat and enjoy the game though I do need the mc though, as she can upgrade her constellations with just lvling up rank or the story progress. Yeah it is hard to earn primogems I guess I better sucked it up.",5,2023-08-22 13:15:34,4.0.0_16983586_17100363
8f6a6af2-066b-4637-9818-4603dd03f12e,"The world building, characters, art design and game play are fantastic and among the best in the genre. The gacha mechanics are a bit egregious unfortunately; I understand the developers deserve to be appropriately compensated for making a game of this caliber but rolling for characters is kind of a nightmare due to insanely low drop rates that do interfere with my enjoyment of the game. Otherwise this is a 5 star experience!",4,2023-08-19 03:52:53,4.0.0_16983586_17100363
cb93cd19-5341-45a8-9db2-daf5971085ca,This game is fun but at the time that Fontaine was release my screen started to stop and now I can't play anymore... is there somehow any way to fix it? I really wanna play I need help pleaseeeeee,4,2023-11-11 21:18:55,4.1.0_18054760_18121248
af028c91-ed69-46dc-a010-50a3f8b09970,"This game is beautiful and the game is very fun and cool,but the downloading recorces thing is annoying cause I have to wait for a really long time and it really frustrates me",4,2023-10-13 03:36:28,4.1.0_18054760_18121248
8bc1bae0-5b0c-4e92-b082-a47520aca66f,Lost 50/50 on furina banner but all together it's a good game with nice graphics and gameplay.,4,2023-11-12 18:17:06,4.2.0_18831865_18963989
ecf7fc8a-d793-4fdb-b190-bfe4ec95749e,"After years of waiting, still no controller support for Android, so 1 star still live on, feels like apple has pay mihoyo to not giving Android controller support, scum apple, or scum for both apple and hoyoverse, even at 4.1, still no controller support for android Heck, you give StarRail android controller support from the get go, that further proven that you make a deal with apple",1,2023-09-28 12:14:33,4.1.0_18054760_18121248
31d7b6dc-cd86-4eda-9436-6149dedc8ead,"I love genshin! But there's only one problem and its the fact you cant switch in between playstation and mobile/pc which is really annoying, as it would be great to be able to play with a controller without having to restart",4,2023-07-05 16:38:04,3.8.0_15672274_15939604
7881e9e0-e5fa-465e-b408-4d247f1d8d55,Awesome graphics (if your phone can handle and render them......xd) ....... when played for the first time it gives a whole different level of experience and controls are realistic with a top notch bgm and other sound effects........ Very well built game by the developers,4,2023-07-19 22:27:27,3.8.0_15672274_15939604
c1fbd87c-5831-4d7c-8e57-692f8f79848d,I don't know what is happening but when I clicked start game it said not enough storage and no matter how many apps I deleted it still said the same,1,2023-11-23 13:36:55,4.2.1_18831865_18963989
fde6c234-b10d-4f7d-bb86-1783c37b32b3,The story is at peak level and not to mention the graphics. I think its worth the size.,5,2023-11-01 01:14:51,4.1.0_18054760_18121248
9d6537ab-a215-44f0-86cc-2b1bc034668f,Ngl games great but my storage can't keep up. Maybe something like having the choice to delete quest files before actually entering the game? Like these files take up like 5-6 GB and my phone is kind of in the sweet spot of being able to download the game after quest files are deleted.. and cloud isn't a good alternative for obvious reasons,3,2023-09-25 20:33:23,4.0.0_16983586_17100363
6bae90a8-468f-413d-baaa-2317eb939b10,"This is a very interesting and long term story game with awesome characters, storyline, main story and terrain, even though getting characters might be hard, it's still perfectly enjoyable and comfortable with just our main character! I definitely recommend!",5,2023-08-16 13:47:47,3.8.0_15672274_15939604
2c915081-e012-49da-9f3c-61f6699db992,"The games a very beautiful and the story and lore just gets intense after every update which I like 🙃 if u want a fighting , adventurous and lore game THIS is for u!",5,2023-11-06 19:16:29,4.1.0_18054760_18121248
47c632e4-2424-4ef6-8c13-771049d2e943,"It's amazing and it does have a weird fandom but I don't mind.The problem is that I can't always play because I keep logging off but I don't mind it since it does happen all the time,overall the characters chef kiss and quality delicious.I do hope that there won't be an ending to this game since it does have tons of theory's and lores which I love the most !!. Overall best game I've ever played!! (Play this game if you like guys and girls hehe!)",5,2023-09-28 20:01:46,4.0.0_16983586_17100363
e16db8c9-7c11-4be4-a676-c9ff2a5ff25d,I soooooo love the game. I played it since 2020 but I can't play it anymore in my phone because of insufficient storage so I had to drop the game 😭 i'll be back soon ig 😔,5,2023-10-11 09:34:20,4.1.0_18054760_18121248
1113dfaf-c0c7-4c35-99c7-e727db6ebc0c,The game is heavy if your using phone when playing. This game can take half of your storage because there is a lot of update.,3,2023-11-09 11:04:22,4.1.0_18054760_18121248
1467cd55-eb77-4a31-ac83-755be1573f73,I hate it when the screen turns black and I have to read what should be a cutscene. The game is popular hard to believe they don't have the money for it.,1,2023-10-30 13:01:14,4.1.0_18054760_18121248
